ASV unite_kingdom unite_phylum unite_class unite_order unite_family unite_genus unite_species
ASV_ITS_00071 k__Fungi p__Basidiomycota c__Agaricomycetes o__Agaricales f__Tricholomataceae g__Lichenomphalia s__umbellifera
ASV_ITS_00072 k__Fungi p__Mortierellomycota c__Mortierellomycetes o__Mortierellales f__Mortierellaceae g__Mortierella s__basiparvispora
ASV_ITS_00073 k__Fungi p__Ascomycota c__Leotiomycetes o__Helotiales f__Leotiaceae g__Neobulgaria NA
ASV_ITS_00074 k__Fungi p__Ascomycota c__Dothideomycetes o__Capnodiales f__Teratosphaeriaceae g__Bryochiton s__monascus
ASV_ITS_00075 k__Fungi p__Ascomycota c__Dothideomycetes o__Capnodiales f__Teratosphaeriaceae g__Bryochiton s__monascus
ASV_ITS_00076 k__Fungi p__Ascomycota c__Leotiomycetes NA NA NA NA
ASV_ITS_00077 k__Fungi NA NA NA NA NA NA
ASV_ITS_00078 k__Fungi NA NA NA NA NA NA
ASV_ITS_00079 k__Fungi p__Basidiomycota c__Agaricomycetes o__Agaricales f__Inocybaceae g__Inocybe s__borealis
ASV_ITS_00080 k__Fungi p__Ascomycota c__Leotiomycetes o__Helotiales NA NA NA
ASV_ITS_00081 k__Fungi p__Ascomycota c__Leotiomycetes o__Helotiales NA NA NA
ASV_ITS_00082 k__Fungi p__Ascomycota c__Leotiomycetes o__Helotiales f__Hyaloscyphaceae g__Lachnellula s__fuscosanguinea
ASV_ITS_00083 k__Fungi p__Ascomycota c__Leotiomycetes o__Helotiales f__Hyaloscyphaceae g__Hyaloscypha NA
ASV_ITS_00084 k__Fungi p__Ascomycota c__Sordariomycetes NA NA NA NA
ASV_ITS_00085 k__Fungi p__Ascomycota c__Leotiomycetes o__Helotiales f__Hyaloscyphaceae g__Lachnellula s__fuscosanguinea
ASV_ITS_00086 k__Fungi p__Ascomycota c__Leotiomycetes o__Helotiales f__Hyaloscyphaceae NA NA
ASV_ITS_00087 k__Fungi p__Basidiomycota c__Agaricomycetes o__Russulales f__Russulaceae g__Russula NA
ASV_ITS_00088 k__Fungi p__Ascomycota c__Leotiomycetes o__Helotiales f__Hyaloscyphaceae NA NA
ASV_ITS_00089 k__Fungi NA NA NA NA NA NA
ASV_ITS_00090 k__Fungi p__Ascomycota c__Leotiomycetes o__Helotiales f__Hyaloscyphaceae NA NA
ASV_ITS_00091 k__Fungi p__Basidiomycota c__Agaricomycetes o__Cantharellales f__Clavulinaceae NA NA
