ASV unite_kingdom unite_phylum unite_class unite_order unite_family unite_genus unite_species
ASV_ITS_00490 k__Fungi NA NA NA NA NA NA
ASV_ITS_00491 k__Fungi p__Ascomycota c__Leotiomycetes o__Helotiales f__Hyaloscyphaceae g__Hyphodiscus NA
ASV_ITS_00492 k__Fungi NA NA NA NA NA NA
ASV_ITS_00493 k__Fungi p__Ascomycota c__Leotiomycetes o__Helotiales NA NA NA
ASV_ITS_00494 k__Fungi p__Basidiomycota c__Agaricomycetes o__Agaricales f__Hydnangiaceae g__Laccaria s__laccata
ASV_ITS_00495 k__Fungi p__Basidiomycota c__Agaricomycetes NA NA NA NA
ASV_ITS_00496 k__Fungi p__Mortierellomycota c__Mortierellomycetes o__Mortierellales f__Mortierellaceae g__Mortierella NA
ASV_ITS_00497 k__Fungi p__Basidiomycota NA NA NA NA NA
ASV_ITS_00498 k__Fungi p__Basidiomycota NA NA NA NA NA
ASV_ITS_00499 k__Fungi NA NA NA NA NA NA
ASV_ITS_00500 k__Fungi p__Basidiomycota c__Agaricomycetes o__Agaricales f__Hymenogastraceae g__Hebeloma s__aurantioumbrinum
ASV_ITS_00501 k__Fungi p__Ascomycota c__Leotiomycetes o__Leotiales f__Mniaeciaceae g__Epithamnolia s__rangiferinae
ASV_ITS_00502 k__Fungi p__Ascomycota c__Leotiomycetes o__Helotiales f__Leotiaceae g__Alatospora s__pulchella
ASV_ITS_00503 k__Fungi p__Mortierellomycota c__Mortierellomycetes o__Mortierellales f__Mortierellaceae g__Mortierella NA
ASV_ITS_00504 k__Fungi p__Ascomycota c__Leotiomycetes o__Helotiales f__Sclerotiniaceae g__Botrytis NA
ASV_ITS_00505 k__Fungi p__Basidiomycota c__Agaricomycetes o__Sebacinales f__Serendipitaceae g__Serendipita NA
ASV_ITS_00506 k__Fungi p__Ascomycota c__Leotiomycetes o__Helotiales f__Hyaloscyphaceae NA NA
ASV_ITS_00507 k__Fungi p__Ascomycota c__Leotiomycetes o__Helotiales NA NA NA
ASV_ITS_00508 k__Fungi p__Basidiomycota c__Agaricomycetes o__Russulales f__Russulaceae g__Russula s__violaceoincarnata
ASV_ITS_00509 k__Fungi p__Ascomycota c__Sordariomycetes o__Xylariales f__Amphisphaeriaceae g__Synnemapestaloides NA
ASV_ITS_00510 k__Fungi NA NA NA NA NA NA
ASV_ITS_00511 k__Fungi p__Ascomycota c__Leotiomycetes o__Helotiales f__Helotiaceae g__Meliniomyces NA
ASV_ITS_00512 k__Fungi p__Ascomycota c__Leotiomycetes o__Helotiales NA NA NA
ASV_ITS_00513 k__Fungi p__Ascomycota c__Leotiomycetes o__Helotiales f__Hyaloscyphaceae g__Hyaloscypha s__variabilis
ASV_ITS_00514 k__Fungi p__Basidiomycota c__Agaricomycetes o__Agaricales f__Cortinariaceae g__Cortinarius s__paragaudis
ASV_ITS_00515 k__Fungi NA NA NA NA NA NA
ASV_ITS_00516 k__Fungi p__Basidiomycota c__Tremellomycetes o__Tremellales f__Bulleraceae g__Bullera s__crocea
ASV_ITS_00517 k__Fungi p__Basidiomycota c__Agaricomycetes o__Agaricales f__Tricholomataceae g__Lichenomphalia s__umbellifera
ASV_ITS_00518 k__Fungi p__Ascomycota c__Pezizomycotina_cls_Incertae_sedis o__Pezizomycotina_ord_Incertae_sedis f__Pezizomycotina_fam_Incertae_sedis g__Isthmolongispora NA
ASV_ITS_00519 k__Fungi p__Ascomycota c__Lecanoromycetes o__Lecanorales f__Micareaceae g__Micarea NA
ASV_ITS_00520 k__Fungi p__Basidiomycota c__Agaricomycetes NA NA NA NA
ASV_ITS_00521 k__Fungi p__Basidiomycota c__Tremellomycetes o__Tremellales f__Trimorphomycetaceae g__Saitozyma s__podzolica
ASV_ITS_00522 k__Fungi p__Ascomycota c__Leotiomycetes o__Helotiales f__Leotiaceae g__Neobulgaria NA
ASV_ITS_00523 k__Fungi p__Basidiomycota c__Agaricomycetes o__Agaricales NA NA NA
ASV_ITS_00524 k__Fungi p__Basidiomycota c__Microbotryomycetes o__Kriegeriales f__Kriegeriaceae g__Yamadamyces NA
ASV_ITS_00525 k__Fungi NA NA NA NA NA NA
ASV_ITS_00526 k__Fungi p__Ascomycota c__Eurotiomycetes o__Eurotiales f__Aspergillaceae g__Aspergillus NA
ASV_ITS_00527 k__Fungi p__Basidiomycota c__Agaricomycetes o__GS29 NA NA NA
ASV_ITS_00528 k__Fungi p__Basidiomycota c__Agaricomycetes o__Agaricales f__Cortinariaceae g__Cortinarius NA
ASV_ITS_00529 k__Fungi p__Basidiomycota c__Agaricomycetes o__Atheliales f__Atheliaceae g__Athelia NA
ASV_ITS_00530 k__Fungi NA NA NA NA NA NA
ASV_ITS_00531 k__Fungi p__Rozellomycota NA NA NA NA NA
ASV_ITS_00532 k__Fungi p__Basidiomycota c__Agaricomycetes o__Sebacinales f__Serendipitaceae g__Serendipita NA
ASV_ITS_00533 k__Fungi p__Ascomycota c__Sordariomycetes NA NA NA NA
ASV_ITS_00534 k__Fungi NA NA NA NA NA NA
ASV_ITS_00535 k__Fungi p__Ascomycota c__Leotiomycetes o__Helotiales f__Dermateaceae NA NA
ASV_ITS_00536 k__Fungi NA NA NA NA NA NA
ASV_ITS_00537 k__Fungi p__Ascomycota c__Leotiomycetes o__Helotiales f__Leotiaceae g__Pezoloma s__ericae
ASV_ITS_00538 k__Fungi NA NA NA NA NA NA
ASV_ITS_00539 k__Fungi p__Ascomycota c__Leotiomycetes o__Helotiales f__Hyaloscyphaceae NA NA
ASV_ITS_00540 k__Fungi NA NA NA NA NA NA
ASV_ITS_00541 k__Fungi NA NA NA NA NA NA
ASV_ITS_00542 k__Fungi p__Ascomycota c__Leotiomycetes o__Helotiales f__Leotiaceae NA NA
ASV_ITS_00543 k__Fungi p__Ascomycota c__Leotiomycetes o__Helotiales f__Helotiaceae g__Mycosymbioces s__mycenaphila
ASV_ITS_00544 k__Fungi p__Basidiomycota c__Agaricomycetes o__Sebacinales f__Serendipitaceae g__Serendipita NA
ASV_ITS_00545 k__Fungi NA NA NA NA NA NA
ASV_ITS_00546 k__Fungi p__Ascomycota c__Leotiomycetes o__Helotiales f__Helotiales_fam_Incertae_sedis g__Coleophoma NA
ASV_ITS_00547 k__Fungi p__Ascomycota c__Dothideomycetes o__Capnodiales f__Teratosphaeriaceae NA NA
ASV_ITS_00548 k__Fungi p__Ascomycota c__Leotiomycetes o__Helotiales NA NA NA
ASV_ITS_00549 k__Fungi NA NA NA NA NA NA
ASV_ITS_00550 k__Fungi NA NA NA NA NA NA
ASV_ITS_00551 k__Fungi p__Ascomycota c__Leotiomycetes o__Helotiales f__Hyaloscyphaceae g__Lachnellula s__fuscosanguinea
ASV_ITS_00552 k__Fungi p__Ascomycota c__Leotiomycetes o__Helotiales f__Leotiaceae NA NA
ASV_ITS_00553 k__Fungi NA NA NA NA NA NA
ASV_ITS_00554 k__Fungi NA NA NA NA NA NA
ASV_ITS_00555 k__Fungi p__Basidiomycota c__Agaricomycetes o__Sebacinales f__Serendipitaceae g__Serendipita NA
ASV_ITS_00556 k__Fungi p__Ascomycota c__Leotiomycetes o__Helotiales NA NA NA
ASV_ITS_00557 k__Fungi p__Ascomycota c__Arthoniomycetes o__Lichenostigmatales f__Phaeococcomycetaceae g__Phaeococcomyces s__mexicanus
ASV_ITS_00558 k__Fungi p__Ascomycota c__Dothideomycetes o__Capnodiales f__Teratosphaeriaceae g__Bryochiton NA
ASV_ITS_00559 k__Fungi p__Basidiomycota c__Agaricomycetes o__Auriculariales NA NA NA
ASV_ITS_00560 k__Fungi p__Rozellomycota NA NA NA NA NA
ASV_ITS_00561 k__Fungi NA NA NA NA NA NA
ASV_ITS_00562 k__Fungi p__Mortierellomycota c__Mortierellomycetes o__Mortierellales f__Mortierellaceae g__Mortierella s__globulifera
ASV_ITS_00563 k__Fungi p__Ascomycota c__Leotiomycetes o__Helotiales f__Dermateaceae g__Scleropezicula NA
ASV_ITS_00564 k__Fungi p__Basidiomycota c__Agaricomycetes NA NA NA NA
ASV_ITS_00565 k__Fungi NA NA NA NA NA NA
ASV_ITS_00566 k__Fungi p__Mortierellomycota c__Mortierellomycetes o__Mortierellales f__Mortierellaceae g__Mortierella s__macrocystis
ASV_ITS_00567 k__Fungi p__Ascomycota NA NA NA NA NA
ASV_ITS_00568 k__Fungi p__Basidiomycota c__Agaricomycetes o__Agaricales f__Tricholomataceae g__Mycena s__epipterygia
ASV_ITS_00569 k__Fungi p__Basidiomycota c__Agaricomycetes o__Cantharellales f__Cantharellales_fam_Incertae_sedis g__Sistotrema s__brinkmannii
ASV_ITS_00570 k__Fungi p__Ascomycota c__Leotiomycetes o__Helotiales f__Hyaloscyphaceae g__Hyaloscypha s__bicolor
ASV_ITS_00571 k__Fungi p__Ascomycota c__Leotiomycetes o__Helotiales f__Hyaloscyphaceae NA NA
ASV_ITS_00572 k__Fungi p__Basidiomycota c__Agaricomycetes o__Thelephorales f__Thelephoraceae NA NA
ASV_ITS_00573 k__Fungi NA NA NA NA NA NA
ASV_ITS_00574 k__Fungi p__Ascomycota c__Leotiomycetes o__Helotiales f__Leotiaceae g__Neobulgaria NA
ASV_ITS_00575 k__Fungi NA NA NA NA NA NA
ASV_ITS_00576 k__Fungi NA NA NA NA NA NA
ASV_ITS_00577 k__Fungi NA NA NA NA NA NA
ASV_ITS_00578 k__Fungi p__Ascomycota c__Leotiomycetes o__Helotiales f__Hyaloscyphaceae g__Hyaloscypha NA
ASV_ITS_00579 k__Fungi p__Ascomycota c__Dothideomycetes o__Capnodiales f__Mycosphaerellaceae g__Ramularia NA
ASV_ITS_00580 k__Fungi NA NA NA NA NA NA
ASV_ITS_00581 k__Fungi NA NA NA NA NA NA
ASV_ITS_00582 k__Fungi p__Ascomycota c__Leotiomycetes o__Helotiales f__Hyaloscyphaceae NA NA
ASV_ITS_00583 k__Fungi p__Basidiomycota c__Microbotryomycetes o__Sporidiobolales f__Sporidiobolaceae g__Rhodotorula NA
ASV_ITS_00584 k__Fungi p__Ascomycota c__Leotiomycetes o__Helotiales NA NA NA
ASV_ITS_00585 k__Fungi p__Basidiomycota c__Agaricomycetes NA NA NA NA
ASV_ITS_00586 k__Fungi p__Basidiomycota c__Agaricomycetes o__Russulales f__Russulaceae g__Russula s__emetica
ASV_ITS_00587 k__Fungi NA NA NA NA NA NA
ASV_ITS_00588 k__Fungi p__Mortierellomycota c__Mortierellomycetes o__Mortierellales f__Mortierellaceae g__Mortierella s__macrocystis
ASV_ITS_00589 k__Fungi p__Mucoromycota c__Endogonomycetes NA NA NA NA
ASV_ITS_00590 k__Fungi p__Basidiomycota c__Agaricomycetes o__Cantharellales f__Clavulinaceae NA NA
ASV_ITS_00591 k__Fungi p__Ascomycota c__Dothideomycetes o__Capnodiales NA NA NA
ASV_ITS_00592 k__Fungi p__Ascomycota c__Leotiomycetes o__Rhytismatales f__Rhytismataceae NA NA
ASV_ITS_00593 k__Fungi p__Ascomycota c__Leotiomycetes o__Helotiales NA NA NA
ASV_ITS_00594 k__Fungi p__Rozellomycota NA NA NA NA NA
ASV_ITS_00595 k__Fungi p__Ascomycota c__Dothideomycetes o__Venturiales f__Venturiaceae NA NA
ASV_ITS_00596 k__Fungi NA NA NA NA NA NA
ASV_ITS_00597 k__Fungi p__Basidiomycota c__Agaricomycetes o__Agaricales f__Cortinariaceae g__Cortinarius NA
ASV_ITS_00598 k__Fungi NA NA NA NA NA NA
ASV_ITS_00599 k__Fungi p__Mortierellomycota c__Mortierellomycetes o__Mortierellales f__Mortierellaceae g__Mortierella s__pulchella
ASV_ITS_00600 k__Fungi NA NA NA NA NA NA
ASV_ITS_00601 k__Fungi p__Basidiomycota c__Agaricomycetes o__Agaricales f__Tricholomataceae g__Mycena s__metata
ASV_ITS_00602 k__Fungi p__Ascomycota c__Leotiomycetes o__Helotiales f__Sclerotiniaceae NA NA
ASV_ITS_00603 k__Fungi p__Ascomycota c__Saccharomycetes o__Saccharomycetales f__Saccharomycetales_fam_Incertae_sedis g__Candida s__parapsilosis
ASV_ITS_00604 k__Fungi p__Basidiomycota c__Tremellomycetes o__Filobasidiales f__Filobasidiaceae g__Heterocephalacria NA
ASV_ITS_00605 k__Fungi p__Ascomycota c__Leotiomycetes o__Thelebolales f__Pseudeurotiaceae g__Pseudogymnoascus s__appendiculatus
ASV_ITS_00606 k__Fungi p__Ascomycota NA NA NA NA NA
ASV_ITS_00607 k__Fungi p__Basidiomycota c__Agaricomycetes o__Agaricales f__Lyophyllaceae NA NA
ASV_ITS_00608 k__Fungi p__Ascomycota c__Dothideomycetes o__Pleosporales f__Melanommataceae g__Muriformistrickeria s__rosae
ASV_ITS_00609 k__Fungi p__Ascomycota c__Dothideomycetes o__Capnodiales NA NA NA
ASV_ITS_00610 k__Fungi NA NA NA NA NA NA
ASV_ITS_00611 k__Fungi p__Basidiomycota c__Tremellomycetes o__Filobasidiales NA NA NA
ASV_ITS_00612 k__Fungi p__Basidiomycota c__Agaricomycetes o__Agaricales f__Cortinariaceae g__Cortinarius NA
ASV_ITS_00613 k__Fungi p__Ascomycota c__Leotiomycetes o__Helotiales f__Dermateaceae g__Scleropezicula NA
ASV_ITS_00614 k__Fungi p__Ascomycota c__Leotiomycetes o__Helotiales f__Helotiaceae g__Meliniomyces NA
ASV_ITS_00615 k__Fungi p__Basidiomycota c__Tremellomycetes o__Tremellales f__Syzygosporaceae g__Syzygospora s__effibulata
ASV_ITS_00616 k__Fungi p__Ascomycota c__Dothideomycetes o__Venturiales f__Venturiaceae NA NA
ASV_ITS_00617 k__Fungi NA NA NA NA NA NA
ASV_ITS_00618 k__Fungi p__Basidiomycota c__Tremellomycetes o__Filobasidiales NA NA NA
ASV_ITS_00619 k__Fungi p__Ascomycota c__Dothideomycetes o__Capnodiales f__Cladosporiaceae g__Cladosporium NA
ASV_ITS_00620 k__Fungi p__Ascomycota c__Dothideomycetes o__Venturiales f__Sympoventuriaceae NA NA
ASV_ITS_00621 k__Fungi p__Basidiomycota c__Agaricomycetes o__Agaricales f__Cortinariaceae g__Cortinarius NA
ASV_ITS_00622 k__Fungi p__Basidiomycota NA NA NA NA NA
ASV_ITS_00623 k__Fungi p__Ascomycota c__Leotiomycetes o__Leotiales f__Mniaeciaceae g__Epithamnolia s__rangiferinae
ASV_ITS_00624 k__Fungi NA NA NA NA NA NA
ASV_ITS_00625 k__Fungi p__Ascomycota c__Leotiomycetes o__Helotiales NA NA NA
ASV_ITS_00626 k__Fungi p__Ascomycota c__Leotiomycetes o__Helotiales NA NA NA
ASV_ITS_00627 k__Fungi p__Basidiomycota c__Agaricomycetes o__Agaricales f__Tricholomataceae g__Mycena s__metata
ASV_ITS_00628 k__Fungi p__Ascomycota c__Sordariomycetes o__Hypocreales f__Bionectriaceae g__Nectriopsis NA
ASV_ITS_00629 k__Fungi p__Basidiomycota c__Agaricomycetes o__Agaricales f__Strophariaceae g__Galerina s__mniophila
ASV_ITS_00630 k__Fungi p__Ascomycota c__Leotiomycetes o__Helotiales NA NA NA
ASV_ITS_00631 k__Fungi p__Ascomycota c__Leotiomycetes o__Helotiales f__Hyaloscyphaceae g__Hyphodiscus NA
ASV_ITS_00632 k__Fungi p__Ascomycota c__Leotiomycetes o__Phacidiales f__Phacidiaceae g__Allantophomopsiella s__pseudotsugae
ASV_ITS_00633 k__Fungi NA NA NA NA NA NA
ASV_ITS_00634 k__Fungi NA NA NA NA NA NA
ASV_ITS_00635 k__Fungi p__Basidiomycota NA NA NA NA NA
ASV_ITS_00636 k__Fungi p__Ascomycota c__Dothideomycetes NA NA NA NA
ASV_ITS_00637 k__Fungi p__Ascomycota c__Sordariomycetes o__Hypocreales f__Clavicipitaceae g__Metapochonia s__goniodes
ASV_ITS_00638 k__Fungi p__Basidiomycota c__Agaricomycetes o__Agaricales f__Strophariaceae g__Galerina s__sphagnorum
ASV_ITS_00639 k__Fungi p__Basidiomycota c__Tremellomycetes o__Tremellales f__Phaeotremellaceae g__Phaeotremella NA
ASV_ITS_00640 k__Fungi p__Basidiomycota c__Agaricomycetes o__Sebacinales f__Serendipitaceae g__Serendipita NA
ASV_ITS_00641 k__Fungi NA NA NA NA NA NA
ASV_ITS_00642 k__Fungi NA NA NA NA NA NA
ASV_ITS_00643 k__Fungi NA NA NA NA NA NA
ASV_ITS_00644 k__Fungi p__Basidiomycota c__Agaricomycetes o__Agaricales f__Strophariaceae g__Galerina NA
ASV_ITS_00645 k__Fungi p__Ascomycota c__Leotiomycetes o__Helotiales NA NA NA
ASV_ITS_00646 k__Fungi p__Basidiomycota c__Agaricomycetes o__Cantharellales NA NA NA
ASV_ITS_00647 k__Fungi p__Basidiomycota c__Agaricomycetes o__Russulales f__Russulaceae g__Lactarius NA
ASV_ITS_00648 k__Fungi p__Basidiomycota c__Agaricomycetes o__Agaricales f__Strophariaceae g__Hypholoma s__myosotis
ASV_ITS_00649 k__Fungi p__Basidiomycota NA NA NA NA NA
ASV_ITS_00650 k__Fungi p__Ascomycota c__Sordariomycetes o__Hypocreales f__Hypocreaceae g__Trichoderma NA
ASV_ITS_00651 k__Fungi p__Ascomycota c__Dothideomycetes o__Capnodiales NA NA NA
ASV_ITS_00652 k__Fungi p__Basidiomycota c__Agaricomycetes o__Agaricales f__Physalacriaceae g__Cylindrobasidium s__evolvens
ASV_ITS_00653 k__Fungi p__Ascomycota c__Leotiomycetes o__Helotiales f__Hyaloscyphaceae g__Hyaloscypha s__variabilis
ASV_ITS_00654 k__Fungi p__Ascomycota c__Leotiomycetes o__Helotiales f__Hyaloscyphaceae g__Hyaloscypha NA
ASV_ITS_00655 k__Fungi p__Basidiomycota NA NA NA NA NA
ASV_ITS_00656 k__Fungi NA NA NA NA NA NA
ASV_ITS_00657 k__Fungi p__Basidiomycota c__Agaricomycetes o__Agaricales f__Strophariaceae g__Hypholoma NA
ASV_ITS_00658 k__Fungi p__Basidiomycota c__GS26 NA NA NA NA
ASV_ITS_00659 k__Fungi p__Basidiomycota c__Agaricomycetes o__Russulales f__Stereaceae g__Stereum s__complicatum
ASV_ITS_00660 k__Fungi NA NA NA NA NA NA
ASV_ITS_00661 k__Fungi p__Rozellomycota c__Rozellomycotina_cls_Incertae_sedis o__GS06 NA NA NA
ASV_ITS_00662 k__Fungi NA NA NA NA NA NA
ASV_ITS_00663 k__Fungi p__Basidiomycota c__Microbotryomycetes o__Leucosporidiales NA NA NA
ASV_ITS_00664 k__Fungi p__Ascomycota c__Leotiomycetes o__Helotiales NA NA NA
ASV_ITS_00665 k__Fungi NA NA NA NA NA NA
ASV_ITS_00666 k__Fungi p__Basidiomycota c__Agaricomycetes NA NA NA NA
ASV_ITS_00667 k__Fungi p__Basidiomycota c__Agaricomycetes o__Hymenochaetales f__Hymenochaetales_fam_Incertae_sedis g__Skvortzovia s__furfuracea
ASV_ITS_00668 k__Fungi p__Basidiomycota c__Microbotryomycetes o__Kriegeriales f__Kriegeriaceae g__Kriegeria s__eriophori
ASV_ITS_00669 k__Fungi p__Basidiomycota c__Agaricomycetes o__Sebacinales f__Serendipitaceae g__Serendipita NA
ASV_ITS_00670 k__Fungi p__Mortierellomycota c__Mortierellomycetes o__Mortierellales f__Mortierellaceae g__Mortierella s__turficola
ASV_ITS_00671 k__Fungi p__Ascomycota c__Leotiomycetes o__Helotiales f__Hyaloscyphaceae g__Hyaloscypha s__variabilis
ASV_ITS_00672 k__Fungi p__Basidiomycota NA NA NA NA NA
ASV_ITS_00673 k__Fungi p__Ascomycota c__Leotiomycetes o__Helotiales f__Hyaloscyphaceae g__Hyaloscypha NA
ASV_ITS_00674 k__Fungi NA NA NA NA NA NA
ASV_ITS_00675 k__Fungi p__Basidiomycota c__Agaricomycetes o__Cantharellales f__Clavulinaceae NA NA
ASV_ITS_00676 k__Fungi p__Ascomycota c__Leotiomycetes o__Helotiales f__Helotiaceae g__Neocrinula NA
ASV_ITS_00677 k__Fungi NA NA NA NA NA NA
ASV_ITS_00678 k__Fungi p__Ascomycota c__Dothideomycetes o__Venturiales f__Sympoventuriaceae NA NA
ASV_ITS_00679 k__Fungi NA NA NA NA NA NA
ASV_ITS_00680 k__Fungi NA NA NA NA NA NA
ASV_ITS_00681 k__Fungi p__Ascomycota c__Leotiomycetes o__Helotiales f__Helotiaceae NA NA
ASV_ITS_00682 k__Fungi p__Ascomycota c__Xylonomycetes o__GS34 NA NA NA
ASV_ITS_00683 k__Fungi p__Basidiomycota c__Agaricomycetes o__Thelephorales f__Thelephoraceae g__Tomentella NA
ASV_ITS_00684 k__Fungi p__Basidiomycota c__Agaricomycetes NA NA NA NA
ASV_ITS_00685 k__Fungi p__Basidiomycota c__Agaricomycetes o__Sebacinales f__Serendipitaceae NA NA
ASV_ITS_00686 k__Fungi p__Ascomycota c__Dothideomycetes o__Venturiales f__Venturiaceae g__Sympodiella NA
ASV_ITS_00687 k__Fungi p__Ascomycota c__Dothideomycetes o__Capnodiales f__Cladosporiaceae g__Rachicladosporium s__monterosium
ASV_ITS_00688 k__Fungi p__Basidiomycota c__Agaricomycetes o__Atheliales f__Atheliaceae g__Athelia NA
ASV_ITS_00689 k__Fungi p__Basidiomycota c__Tremellomycetes o__Filobasidiales f__Filobasidiaceae g__Heterocephalacria NA
ASV_ITS_00690 k__Fungi p__Ascomycota c__Leotiomycetes o__Leotiales f__Mniaeciaceae g__Epithamnolia s__rangiferinae
ASV_ITS_00691 k__Fungi p__Ascomycota c__Leotiomycetes o__Helotiales NA NA NA
ASV_ITS_00692 k__Fungi p__Mortierellomycota c__Mortierellomycetes o__Mortierellales f__Mortierellaceae g__Mortierella s__macrocystis
ASV_ITS_00693 k__Fungi NA NA NA NA NA NA
ASV_ITS_00694 k__Fungi p__Basidiomycota c__Agaricomycetes o__Agaricales f__Strophariaceae g__Galerina s__mniophila
ASV_ITS_00695 k__Fungi p__Ascomycota c__Eurotiomycetes o__Chaetothyriales f__Herpotrichiellaceae NA NA
ASV_ITS_00696 k__Fungi p__Ascomycota c__Leotiomycetes o__Helotiales f__Leotiaceae g__Alatospora s__pulchella
ASV_ITS_00697 k__Fungi p__Ascomycota c__Leotiomycetes o__Helotiales f__Hyaloscyphaceae g__Hyaloscypha s__variabilis
ASV_ITS_00698 k__Fungi NA NA NA NA NA NA
ASV_ITS_00699 k__Fungi p__Ascomycota c__Leotiomycetes o__Helotiales f__Hyaloscyphaceae NA NA
ASV_ITS_00700 k__Fungi p__Ascomycota c__Leotiomycetes o__Helotiales f__Leotiaceae g__Neobulgaria NA
ASV_ITS_00701 k__Fungi p__Ascomycota c__Leotiomycetes o__Helotiales f__Hyaloscyphaceae g__Lachnum NA
ASV_ITS_00702 k__Fungi p__Ascomycota c__Sordariomycetes o__Hypocreales f__Cordycipitaceae g__Leptobacillium s__leptobactrum
ASV_ITS_00703 k__Fungi p__Basidiomycota c__Agaricomycetes o__Agaricales f__Cyphellaceae g__Rectipilus NA
ASV_ITS_00704 k__Fungi p__Basidiomycota c__Microbotryomycetes o__Kriegeriales f__Kriegeriaceae g__Phenoliferia s__psychrophenolica
ASV_ITS_00705 k__Fungi p__Ascomycota c__Leotiomycetes o__Helotiales f__Helotiaceae g__Meliniomyces NA
ASV_ITS_00706 k__Fungi NA NA NA NA NA NA
ASV_ITS_00707 k__Fungi p__Basidiomycota c__Tremellomycetes o__Cystofilobasidiales f__Mrakiaceae g__Mrakia s__frigida
ASV_ITS_00708 k__Fungi p__Basidiomycota c__Agaricomycetes o__Agaricales f__Tricholomataceae g__Mycena s__epipterygia
ASV_ITS_00709 k__Fungi p__Ascomycota c__Xylonomycetes o__GS34 NA NA NA
ASV_ITS_00710 k__Fungi p__Ascomycota c__Dothideomycetes o__Pleosporales f__Didymosphaeriaceae g__Paraphaeosphaeria s__xanthorrhoeae
ASV_ITS_00711 k__Fungi p__Ascomycota c__Eurotiomycetes o__Eurotiales f__Aspergillaceae g__Penicillium s__bialowiezense
ASV_ITS_00712 k__Fungi NA NA NA NA NA NA
ASV_ITS_00713 k__Fungi NA NA NA NA NA NA
ASV_ITS_00714 k__Fungi p__Ascomycota c__Lecanoromycetes o__Lecanorales f__Micareaceae g__Micarea NA
ASV_ITS_00715 k__Fungi NA NA NA NA NA NA
ASV_ITS_00716 k__Fungi p__Basidiomycota c__Tremellomycetes o__Tremellales f__Phaeotremellaceae g__Phaeotremella NA
ASV_ITS_00717 k__Fungi NA NA NA NA NA NA
ASV_ITS_00718 k__Fungi p__Basidiomycota c__Microbotryomycetes o__Leucosporidiales NA NA NA
ASV_ITS_00719 k__Fungi p__Basidiomycota c__Cystobasidiomycetes o__Erythrobasidiales f__Erythrobasidiales_fam_Incertae_sedis g__Sakaguchia s__cladiensis
ASV_ITS_00720 k__Fungi p__Basidiomycota c__Cystobasidiomycetes NA NA NA NA
ASV_ITS_00721 k__Fungi p__Ascomycota NA NA NA NA NA
ASV_ITS_00722 k__Fungi p__Ascomycota c__Leotiomycetes o__Helotiales NA NA NA
ASV_ITS_00723 k__Fungi NA NA NA NA NA NA
ASV_ITS_00724 k__Fungi p__Basidiomycota c__Agaricomycetes o__Agaricales f__Tricholomataceae g__Omphalina s__telmatiaea
ASV_ITS_00725 k__Fungi p__Basidiomycota NA NA NA NA NA
ASV_ITS_00726 k__Fungi p__Ascomycota c__Leotiomycetes o__Thelebolales f__Pseudeurotiaceae NA NA
ASV_ITS_00727 k__Fungi p__Mortierellomycota c__Mortierellomycetes o__Mortierellales f__Mortierellaceae g__Mortierella NA
ASV_ITS_00728 k__Fungi p__Ascomycota c__Dothideomycetes o__Capnodiales f__Teratosphaeriaceae NA NA
ASV_ITS_00729 k__Fungi p__Ascomycota c__Leotiomycetes o__Helotiales NA NA NA
ASV_ITS_00730 k__Fungi p__Basidiomycota c__Microbotryomycetes o__Sporidiobolales f__Sporidiobolaceae g__Rhodotorula NA
ASV_ITS_00731 k__Fungi p__Ascomycota c__Saccharomycetes o__Saccharomycetales f__Lipomycetaceae NA NA
ASV_ITS_00732 k__Fungi p__Ascomycota c__Leotiomycetes o__Helotiales NA NA NA
ASV_ITS_00733 k__Fungi NA NA NA NA NA NA
ASV_ITS_00734 k__Fungi p__Basidiomycota NA NA NA NA NA
ASV_ITS_00735 k__Fungi p__Ascomycota c__Leotiomycetes o__Helotiales f__Helotiaceae g__Glarea NA
ASV_ITS_00736 k__Fungi p__Basidiomycota c__Agaricomycetes o__Agaricales f__Radulomycetaceae g__Radulotubus s__resupinatus
ASV_ITS_00737 k__Fungi p__Basidiomycota c__Tremellomycetes o__Filobasidiales f__Piskurozymaceae g__Piskurozyma s__taiwanensis
ASV_ITS_00738 k__Fungi p__Ascomycota c__Leotiomycetes o__Helotiales f__Leotiaceae g__Neobulgaria NA
ASV_ITS_00739 k__Fungi NA NA NA NA NA NA
ASV_ITS_00740 k__Fungi NA NA NA NA NA NA
ASV_ITS_00741 k__Fungi p__Ascomycota c__Leotiomycetes NA NA NA NA
ASV_ITS_00742 k__Fungi NA NA NA NA NA NA
ASV_ITS_00743 k__Fungi p__Basidiomycota c__Agaricomycetes o__Agaricales f__Strophariaceae g__Galerina s__mniophila
ASV_ITS_00744 k__Fungi p__Ascomycota c__Leotiomycetes o__Helotiales f__Hyaloscyphaceae g__Phialea NA
ASV_ITS_00745 k__Fungi p__Basidiomycota c__Agaricomycetes o__Agaricales f__Clavariaceae NA NA
ASV_ITS_00746 k__Fungi p__Ascomycota c__Leotiomycetes o__Helotiales f__Hyaloscyphaceae g__Lachnellula s__fuscosanguinea
ASV_ITS_00747 k__Fungi p__Ascomycota c__Leotiomycetes o__Helotiales f__Hyaloscyphaceae NA NA
ASV_ITS_00748 k__Fungi p__Ascomycota c__Leotiomycetes NA NA NA NA
